src,ref
Your phone will automatically switch to the strongest available Wi-Fi signal.,Je telefoon schakelt automatisch over naar het sterkste beschikbare Wi-Fi-signaal.
"To unsubscribe from push notifications, tap Unsubscribe in any notification you receive.",Tik op Abonnement opzeggen in een ontvangen melding om je af te melden voor pushmeldingen.
Create and deploy a new policy template.,Maak een nieuw beleidssjabloon en implementeer het.
Split screen tutorial,Tutorial voor gesplitst scherm
Ask owner to upgrade to Premium to add unlimited family members.,Vraag de eigenaar om een upgrade naar Premium uit te voeren om een onbeperkt aantal gezinsleden toe te voegen.
Spatial audio enabled,Ruimtelijke audio ingeschakeld
Set the preferred screen resolution for your external display.,Stel de gewenste schermresolutie in voor je externe display.
Storage location: SD Card,Opslaglocatie: SD-kaart
Page {1} of {2},Pagina {1} van {2}
Motorola enterprise mobility management (EMM) solution.,Enterprise Mobility Management-oplossing (EMM) van Motorola.
Snap crystal-clear photos and selfies in any light with a 64MP external camera and OIS—or a 32MP internal camera with Quad Pixel technology.,Maak kristalheldere foto's en selfies bij elk licht met een externe 64MP-camera en OIS of een interne 32MP-camera met Quad Pixel-technologie.
"On certain carrier networks, video calls may be split into voice and data charges.",Op bepaalde provider-netwerken kunnen videogesprekken worden gesplitst in spraak- en datatarifering.
Easily jump between Experience hub activities.,Schakel snel tussen Alle ervaringen-activiteiten.
Sensitive data protected,Gevoelige gegevens beschermd
Upgrade to remove the limit on how many people can join your family group.,Upgrade om de limiet te verwijderen op het aantal personen dat lid kan worden van je familiegroep.
Location access: Only while using app,Locatietoegang: alleen tijdens gebruik van de app
Launch the trackpad to use gestures and air mouse.,Start het trackpad om gebaren en een airmuis te gebruiken.
Bluetooth visibility timed out,Time-out voor Bluetooth-zichtbaarheid
Accessibility shortcut is enabled.,Snelkoppeling voor toegankelijkheid is ingeschakeld.
Restricted by “Don't allow” setting,Beperkt door de instelling Niet toestaan
This allows you to view movable content when you hover over an app,Hiermee kun je mobiele inhoud bekijken wanneer je met je muis over een app beweegt
Internal storage almost full,Interne opslag bijna vol
Leave and get a reminder,Verlaten en een herinnering ontvangen
Uninstalling app...,App verwijderen...
Enterprise Mobility Management allows your administrator to apply policies to this device.,Enterprise Mobility Management stelt je beheerder in staat beleid toe te passen op dit apparaat.
Ultra Battery Saver active,Ultra-batterijbesparing actief
PTT calls are recorded when the record calls option is enabled.,PTT-oproepen worden opgenomen wanneer de optie Oproepen opnemen is ingeschakeld.
Kid-friendly apps only,Alleen kindvriendelijke apps
Switch to front camera,Omschakelen naar camera aan voorzijde
"For security, you must verify your identity with a PIN every 3 days when using face unlock.",Voor de veiligheid moet je je identiteit elke 3 dagen verifiëren met een pincode bij gebruik van gezichtsontgrendeling.
Apps in your work profile are managed by your organization.,Apps in je werkprofiel worden beheerd door je organisatie.
Get alerts when a family member enters or exits this saved location.,Ontvang meldingen wanneer een gezinslid deze opgeslagen locatie opent of verlaat.
You can reconnect at any time from Settings.,Je kunt op elk gewenst moment opnieuw verbinding maken via Instellingen.
System update is ready,Systeemupdate is gereed
{1}Update window: From {2} to {3},{1}Updateperiode: van {2} tot {3}
"Go to Settings, choose Permissions, and then allow “Connect to nearby devices.“","Ga naar Instellingen, kies Machtigingen en schakel vervolgens 'Verbinding maken met apparaten dichtbij' in."
Recovery mode active,Herstelmodus actief
Mark as read,Markeren als gelezen
Sold separately.,Apart verkocht.
USB debugging active,USB-foutopsporing actief
Last synced {1} minutes ago,{1} minuten geleden gesynchroniseerd
Nearby device permission,Toestemming voor apparaten dichtbij
Your subscription has been cancelled successfully.,Je abonnement is succesvol opgezegd.
Microphone in use by {1},Microfoon in gebruik door {1}
System battery alert,Systeembatterij-waarschuwing
"Instantly connect your phone to your favorite devices so you can stream, work, and share","Verbind je telefoon direct met je favoriete apparaten, zodat je kunt streamen, werken en delen"
Sign in,Aanmelden
Allow this app to send you push notifications?,Wil je dat deze app je pushmeldingen stuurt?
Wallpaper successfully applied,Achtergrond succesvol toegepast
"When mirroring your phone, adjust the display ratio to reduce letterboxing and optimize viewing","Wanneer je je telefoon spiegelt, pas je de beeldverhouding aan om de letterboxing te verminderen en de weergave te optimaliseren"
Choose your refresh rate,Kies je vernieuwingsfrequentie
Swipe down for notifications,Swipe omlaag voor meldingen
"By continuing, you agree to the Terms of Service.","Door verder te gaan, ga je akkoord met de Servicevoorwaarden."
Three-finger swipe for screenshot,Swipe met drie vingers voor screenshot
"To share files between your phone and PC, both devices must be connected to the same Wi-Fi network.","Om bestanden te delen tussen je telefoon en pc, moeten beide apparaten verbonden zijn met hetzelfde Wi-Fi-netwerk."
Edge lights active for calls,Randverlichting actief voor oproepen
Manage your subscription,Je abonnement beheren
You have subscribed to push notifications from this app.,Je hebt je geabonneerd op pushmeldingen van deze app.
No personal information will be stored on our servers.,Er worden geen persoonlijke gegevens opgeslagen op onze servers.
Use air mouse mode to control your TV with gestures.,Gebruik de airmuis-modus om je tv te bedienen met gebaren.
Get started,Aan de slag
Quad Pixel technology combines four pixels into one for better low-light performance.,Quad Pixel-technologie combineert vier pixels tot één voor betere prestaties bij weinig licht.
Hold the volume down button and the power button simultaneously to take a screenshot.,Houd de volume-omlaagknop en de aan/uit-knop tegelijkertijd ingedrukt om een screenshot te maken.
Airplane mode is active,Vliegtuigmodus is actief
"{1}/mo, save {2}%%","{1} per maand, bespaar {2}%%"
Two-step verification required,Tweestapsverificatie vereist
Scanning for viruses...,Scannen op virussen...
Clear cache to free up space,Cache wissen om ruimte vrij te maken
This employee is authorized to create and manage customization policy templates and apply them to devices,"Deze medewerker is bevoegd aangepaste beleidssjablonen te maken en beheren, en deze toe te passen op apparaten"
Bluetooth device connected,Bluetooth-apparaat verbonden
"256GB built-inUFS 3.1 + LPDDR5""",256 GB ingebouwdUFS 3.1 + LPDDR5
System UI has stopped,Systeem-UI is gestopt
Hover over an app to preview its content.,Beweeg de muis over een app om een voorbeeld van de inhoud te bekijken.
Double tap power button,Dubbeltik op de aan/uit-knop
"I may unsubscribe to push notifications by selecting ""Unsubscribe"" in the notifications I receive.",Ik kan mijn abonnement op pushmeldingen opzeggen door Abonnement opzeggen te selecteren in de meldingen die ik ontvang.
Storage is almost full,Opslagruimte is bijna vol
This employee is authorized to manage device policies.,Deze medewerker is bevoegd om apparaatbeleid te beheren.
Open Moto Secure to manage your secure folder and app lock settings.,Open Moto Secure om je beveiligde map en app-vergrendelingsinstellingen te beheren.
Throw your active apps to a nearby screen using a quick swipe motion.,Gooi je actieve apps naar een scherm in de buurt met een snelle veegbeweging.
You can also use a wired connection with an HDMI cable or USB-C hub.,Je kunt ook een bekabelde verbinding gebruiken met een HDMI-kabel of USB-C-hub.
Chop twice for flashlight,Twee keer schudden voor zaklamp
It will automatically recharge when the battery level is lower than 20%.,Het apparaat wordt automatisch opnieuw opgeladen wanneer het accupercentage lager is dan 20%.
"{1}/month, save {2}%%","{1} per maand, bespaar {2}%%"
Find my device: On,Vind mijn apparaat: Aan
Timer set to 3 seconds,Timer ingesteld op 3 seconden
Safe mode active,Veilige modus actief
Open Experience hub to manage your connected displays and devices.,Open Alle ervaringen om je verbonden displays en apparaten te beheren.
You may not receive notifications from apps that have been restricted in the background.,Je ontvangt mogelijk geen meldingen van apps die op de achtergrond zijn beperkt.
Increased contrast,Verhoogd contrast
"With Family Space Premium, you can add unlimited family members.",Met Family Space Premium kun je een onbeperkt aantal gezinsleden toevoegen.
This widget needs permission to connect to nearby devices.,Deze widget heeft toestemming nodig om verbinding te maken met apparaten dichtbij.
Move or copy files from inside Secure folder too outside locations,Verplaats of kopieer bestanden van binnen de beveiligde map naar locaties buiten de map
Reduce blue light,Blauw licht verminderen
You will receive a reminder before your subscription renews.,Je ontvangt een herinnering voordat je abonnement wordt verlengd.
Start Mirror phone or Virtual phone,Spiegeltelefoon of Virtuele telefoon starten
Hotspot enabled,Hotspot ingeschakeld
Wireless charging up to 15W supported.,Draadloos opladen tot 15 W ondersteund.
Free up space with Files,Ruimte vrijmaken met Files
See details,Details bekijken
Stop Phone on PC,Telefoon op pc stoppen
125W TurboPower charges your phone from 0 to 50%% in 15 minutes.,125W TurboPower laadt je telefoon op van 0 tot 50%% in 15 minuten.
Manage your notification preferences in Settings.,Beheer je meldingsvoorkeuren in Instellingen.
Notification snooze: 1 hour,Melding snoozen: 1 uur
Protect your battery health,Bescherm de gezondheid van je batterij
Moto Secure helps you protect sensitive apps with an extra layer of security.,Moto Secure helpt je gevoelige apps te beschermen met een extra beveiligingslaag.
Peek Display notifications,Meldingen op Peek Display
Confirm,Bevestigen
Sign out,Afmelden
Found {1} new apps,{1} nieuwe apps gevonden
Checking for updates...,Controleren op updates...
"To share files, make sure your Ready For device is open and visible to Bluetooth","Om bestanden te delen, moet je Ready For-apparaat geopend zijn en zichtbaar voor Bluetooth"
Remaining times: {1},Resterende pogingen: {1}
Disconnected from {1},Verbinding met {1} verbroken
This policy was applied by your organization.,Dit beleid is toegepast door je organisatie.
This can't be reversed. Are you sure?,Dit kan niet worden teruggedraaid. Weet je het zeker?
Work profile is active.,Werkprofiel is actief.
"When you open an app, you can swipe up from the bottom of the screen to return to the home screen.","Wanneer je een app opent, kun je van onderaan het scherm omhoog vegen om terug te gaan naar het startscherm."
Permission required for storage,Toestemming voor opslag vereist
Want to have more features?,Wil je meer functies?
Search your phone,Zoek in je telefoon
Voicemail from {1},Voicemail van {1}
Developer options enabled,Ontwikkelaarsopties ingeschakeld
Enter it below to verify your account.,Voer deze hieronder in om je account te verifiëren.
Equalizer preset: Bass boost,Equalizer-preset: Bass-boost
Set up now,Nu instellen
Sort apps by name,Apps sorteren op naam
Display lets you optimize how you interact with the screen.,Met Display kun je de manier waarop je met het scherm werkt optimaliseren.
"To protect your battery health, charging will slow down when the battery reaches 80%.","Om de gezondheid van je batterij te beschermen, wordt het opladen langzamer wanneer de batterij 80% bereikt."
Camera resolution: High,Cameraresolutie: Hoog
App not responding,App reageert niet
Have a Moto account?,Heb je een Moto-account?
Biometric data updated,Biometrische gegevens bijgewerkt
Backup to cloud successful,Back-up naar cloud succesvol
Battery saver mode will be temporarily turned off when the cover is open or the external display is used.,De energiebesparingsmodus wordt tijdelijk uitgeschakeld als de klep wordt geopend of het externe display wordt gebruikt.
Connected to wireless speaker,Verbonden met draadloze speaker
